offLNm,offFNm,teamAbbr,teamLoc,teamRslt,teamFTA,teamFTM,teamFT%,opptAbbr,opptConf,opptLoc,opptRslt,opptFTA,opptFTM,opptFT%
Adams,Bennie,OKC,Home,Win,22,19,0.8636,CLE,East,Away,Loss,23,16,0.6957
Palmer,Violet,OKC,Home,Win,22,19,0.8636,CLE,East,Away,Loss,23,16,0.6957
Crawford,Dan,OKC,Home,Win,22,19,0.8636,CLE,East,Away,Loss,23,16,0.6957
Kirkland,Courtney,SAC,Away,Loss,14,11,0.7857,LAL,West,Home,Win,30,23,0.7667
Fehr,Kevin,SAC,Away,Loss,14,11,0.7857,LAL,West,Home,Win,30,23,0.7667
Davis,Marc,SAC,Away,Loss,14,11,0.7857,LAL,West,Home,Win,30,23,0.7667
Kirkland,Courtney,LAL,Home,Win,30,23,0.7667,SAC,West,Away,Loss,14,11,0.7857
Fehr,Kevin,LAL,Home,Win,30,23,0.7667,SAC,West,Away,Loss,14,11,0.7857
Davis,Marc,LAL,Home,Win,30,23,0.7667,SAC,West,Away,Loss,14,11,0.7857
Smith,Michael,MIL,Away,Win,18,16,0.8889,PHI,East,Home,Loss,16,12,0.75
Guthrie,David,MIL,Away,Win,18,16,0.8889,PHI,East,Home,Loss,16,12,0.75
Dalen,Eric,MIL,Away,Win,18,16,0.8889,PHI,East,Home,Loss,16,12,0.75
Smith,Michael,PHI,Home,Loss,16,12,0.75,MIL,East,Away,Win,18,16,0.8889
Guthrie,David,PHI,Home,Loss,16,12,0.75,MIL,East,Away,Win,18,16,0.8889
Dalen,Eric,PHI,Home,Loss,16,12,0.75,MIL,East,Away,Win,18,16,0.8889
Foster,Scott,UTA,Away,Win,43,34,0.7907,TOR,East,Home,Loss,30,23,0.7667
Brown,Tony,UTA,Away,Win,43,34,0.7907,TOR,East,Home,Loss,30,23,0.7667
Kogut,Marat,UTA,Away,Win,43,34,0.7907,TOR,East,Home,Loss,30,23,0.7667
Foster,Scott,TOR,Home,Loss,30,23,0.7667,UTA,West,Away,Win,43,34,0.7907
Brown,Tony,TOR,Home,Loss,30,23,0.7667,UTA,West,Away,Win,43,34,0.7907
Kogut,Marat,TOR,Home,Loss,30,23,0.7667,UTA,West,Away,Win,43,34,0.7907
Mott,Rodney,OKC,Away,Win,42,37,0.881,DET,East,Home,Loss,27,18,0.6667
Callahan,Mike,OKC,Away,Win,42,37,0.881,DET,East,Home,Loss,27,18,0.6667
Orr,J.T.,OKC,Away,Win,42,37,0.881,DET,East,Home,Loss,27,18,0.6667
Mott,Rodney,DET,Home,Loss,27,18,0.6667,OKC,West,Away,Win,42,37,0.881
Callahan,Mike,DET,Home,Loss,27,18,0.6667,OKC,West,Away,Win,42,37,0.881
Orr,J.T.,DET,Home,Loss,27,18,0.6667,OKC,West,Away,Win,42,37,0.881
Crawford,Joe,BOS,Away,Win,16,16,1,CHI,East,Home,Loss,31,24,0.7742
Zarba,Zach,BOS,Away,Win,16,16,1,CHI,East,Home,Loss,31,24,0.7742
Lindsay,Mark,BOS,Away,Win,16,16,1,CHI,East,Home,Loss,31,24,0.7742
Crawford,Joe,CHI,Home,Loss,31,24,0.7742,BOS,East,Away,Win,16,16,1
Zarba,Zach,CHI,Home,Loss,31,24,0.7742,BOS,East,Away,Win,16,16,1
Lindsay,Mark,CHI,Home,Loss,31,24,0.7742,BOS,East,Away,Win,16,16,1
Washington,Tom,MIA,Away,Win,20,13,0.65,HOU,West,Home,Loss,33,26,0.7879
Lewis,Eric,MIA,Away,Win,20,13,0.65,HOU,West,Home,Loss,33,26,0.7879
Williams,James,MIA,Away,Win,20,13,0.65,HOU,West,Home,Loss,33,26,0.7879
Washington,Tom,HOU,Home,Loss,33,26,0.7879,MIA,East,Away,Win,20,13,0.65
Lewis,Eric,HOU,Home,Loss,33,26,0.7879,MIA,East,Away,Win,20,13,0.65
Williams,James,HOU,Home,Loss,33,26,0.7879,MIA,East,Away,Win,20,13,0.65
Richardson,Leroy,MIN,Away,Win,32,26,0.8125,DAL,West,Home,Loss,25,20,0.8
Phillips,Jason,MIN,Away,Win,32,26,0.8125,DAL,West,Home,Loss,25,20,0.8
Bavetta,Dick,MIN,Away,Win,32,26,0.8125,DAL,West,Home,Loss,25,20,0.8
Richardson,Leroy,DAL,Home,Loss,25,20,0.8,MIN,West,Away,Win,32,26,0.8125
Phillips,Jason,DAL,Home,Loss,25,20,0.8,MIN,West,Away,Win,32,26,0.8125
Bavetta,Dick,DAL,Home,Loss,25,20,0.8,MIN,West,Away,Win,32,26,0.8125
Zielinski,Gary,DEN,Away,Loss,18,11,0.6111,PHO,West,Home,Win,21,17,0.8095
Garretson,Ron,DEN,Away,Loss,18,11,0.6111,PHO,West,Home,Win,21,17,0.8095
Maddox,Tre,DEN,Away,Loss,18,11,0.6111,PHO,West,Home,Win,21,17,0.8095
Zielinski,Gary,PHO,Home,Win,21,17,0.8095,DEN,West,Away,Loss,18,11,0.6111
Garretson,Ron,PHO,Home,Win,21,17,0.8095,DEN,West,Away,Loss,18,11,0.6111
