"","gmDate","gmTime","seasTyp","teamAbbr","opptAbbr","teamLoc","teamPF","opptPF","offN1","offN2","offN3"
"2","2012-10-30","19:00","Regular","CLE","WAS","Home",21,19,"Tony Brothers","Michael Smith","Haywoode Workman"
"4","2012-10-30","20:00","Regular","MIA","BOS","Home",20,23,"Monty McCutchen","Sean Wright","Kane Fitzgerald"
"6","2012-10-30","22:30","Regular","LAL","DAL","Home",21,25,"Scott Foster","Gary Zielinski","Eric Dalen"
"8","2012-10-31","19:00","Regular","PHI","DEN","Home",14,22,"Bennett Salvatore","Tony Brown","Eric Lewis"
"10","2012-10-31","19:00","Regular","TOR","IND","Home",18,16,"Bill Spooner","David Guthrie","Mark Lindsay"
"12","2012-10-31","19:30","Regular","DET","HOU","Home",15,24,"Courtney Kirkland","Ron Garretson","Sean Corbin"
"14","2012-10-31","20:00","Regular","CHI","SAC","Home",19,29,"David Jones","Violet Palmer","Brian Forte"
"16","2012-10-31","20:00","Regular","NO","SA","Home",20,21,"Pat Fraher","John Goble","James Capers"
"18","2012-10-31","21:00","Regular","UTA","DAL","Home",25,32,"Rodney Mott","Ken Mauer","Olandis Poole"
"20","2012-10-31","22:00","Regular","PHO","GS","Home",23,20,"Bennie Adams","Mike Callahan","Kevin Cutler"
"22","2012-10-31","22:30","Regular","LAC","MEM","Home",27,25,"Scott Foster","Gary Zielinski","Eric Dalen"
"24","2012-10-31","22:30","Regular","POR","LAL","Home",20,29,"Leon Wood","Bill Kennedy","Tre Maddox"
"26","2012-11-01","21:30","Regular","SA","OKC","Home",21,20,"Dan Crawford","Derrick Collins","Mark Ayotte"
"28","2012-11-02","19:00","Regular","ORL","DEN","Home",24,17,"Marc Davis","Karl Lane","Dick Bavetta"
"30","2012-11-02","19:00","Regular","CHA","IND","Home",23,16,"Leroy Richardson","Ron Garretson","J.T. Orr"
"32","2012-11-02","19:30","Regular","BOS","MIL","Home",18,17,"David Jones","Violet Palmer","Bill Spooner"
"34","2012-11-02","19:30","Regular","CLE","CHI","Home",25,21,"Courtney Kirkland","Monty McCutchen","Lauren Holtkamp"
"36","2012-11-02","19:30","Regular","ATL","HOU","Home",26,18,"Ed Malloy","Sean Wright","Brent Barnaky"
"38","2012-11-02","20:00","Regular","NY","MIA","Home",22,18,"Michael Smith","Derrick Stafford","Nick Buchert"
"40","2012-11-02","20:00","Regular","NO","UTA","Home",16,21,"Scott Wall","Jason Phillips","Tony Brown"
"42","2012-11-02","20:00","Regular","MIN","SAC","Home",17,34,"Sean Corbin","Tom Washington","Curtis Blair"
"44","2012-11-02","20:00","Regular","OKC","POR","Home",22,25,"Pat Fraher","John Goble","James Capers"
"46","2012-11-02","22:00","Regular","PHO","DET","Home",20,19,"Scott Foster","Rodney Mott","Eric Dalen"
"48","2012-11-02","22:30","Regular","LAL","LAC","Home",23,26,"Bennie Adams","Mike Callahan","Kevin Cutler"
"50","2012-11-02","22:30","Regular","GS","MEM","Home",24,22,"Ken Mauer","Leon Wood","Olandis Poole"
"52","2012-11-03","19:00","Regular","WAS","BOS","Home",14,12,"Joe Crawford","Derek Richardson","David Guthrie"
"54","2012-11-03","19:00","Regular","IND","SAC","Home",19,26,"Courtney Kirkland","Bill Kennedy","Eli Roe"
"56","2012-11-03","19:30","Regular","MIA","DEN","Home",16,21,"Leroy Richardson","Ed Malloy","Kevin Scott"
"58","2012-11-03","19:30","Regular","BKN","TOR","Home",19,31,"Gary Zielinski","Matt Boland","Bennett Salvatore"
"60","2012-11-03","20:00","Regular","CHI","NO","Home",20,21,"Tom Washington","Kane Fitzgerald","James Williams"
"62","2012-11-03","20:00","Regular","HOU","POR","Home",16,18,"Dan Crawford","Derrick Collins","Mark Ayotte"
"64","2012-11-03","20:30","Regular","DAL","CHA","Home",23,14,"Tony Brothers","Tony Brown","Haywoode Workman"
"66","2012-11-03","20:30","Regular","MIL","CLE","Home",18,21,"Kevin Fehr","Derrick Stafford","John Goble"
"68","2012-11-03","20:30","Regular","SA","UTA","Home",18,22,"Zach Zarba","Eric Lewis","Marat Kogut"
"70","2012-11-03","22:30","Regular","LAC","GS","Home",31,34,"Rodney Mott","Scott Twardoski","Brian Forte"
"72","2012-11-04","12:00","Regular","NY","PHI","Home",10,18,"Sean Corbin","Violet Palmer","Bill Spooner"
"74","2012-11-04","18:00","Regular","ORL","PHO","Home",17,17,"Ron Garretson","Sean Wright","Tre Maddox"
"76","2012-11-04","18:00","Regular","TOR","MIN","Home",24,17,"Pat Fraher","Monty McCutchen","Josh Tiven"
"78","2012-11-04","19:00","Regular","OKC","ATL","Home",21,20,"Scott Wall","Mike Callahan","Brenda Pantoja"
"80","2012-11-04","21:30","Regular","LAL","DET","Home",20,20,"Ken Mauer","Olandis Poole","Brian Forte"
"82","2012-11-05","19:00","Regular","PHI","NY","Home",19,17,"Courtney Kirkland","Scott Foster","Gary Zielinski"
"84","2012-11-05","19:30","Regular","MIA","PHO","Home",22,19,"Zach Zarba","Dan Crawford","Brent Barnaky"
"86","2012-11-05","19:30","Regular","BKN","MIN","Home",17,18,"Bennie Adams","Marc Davis","Derek Richardson"
"88","2012-11-05","20:00","Regular","MEM","UTA","Home",17,22,"Bill Kennedy","David Guthrie","Tre Maddox"
"90","2012-11-05","20:30","Regular","SA","IND","Home",17,17,"Tony Brothers","Haywoode Workman","Dick Bavetta"
"92","2012-11-05","20:30","Regular","DAL","POR","Home",15,13,"Joe Crawford","Kane Fitzgerald","Marat Kogut"
"94","2012-11-05","22:00","Regular","SAC","GS","Home",25,17,"Michael Smith","Mark Lindsay","James Capers"
"96","2012-11-05","22:30","Regular","LAC","CLE","Home",24,18,"David Jones","Bennett Salvatore","J.T. Orr"
"98","2012-11-06","20:00","Regular","CHI","ORL","Home",12,22,"Pat Fraher","Leon Wood","Jason Phillips"
"100","2012-11-06","20:00","Regular","OKC","TOR","Home",22,24,"Ron Garretson","Eric Dalen","Brian Forte"
"102","2012-11-06","21:00","Regular","DEN","DET","Home",21,19,"Violet Palmer","John Goble","J.T. Orr"
"104","2012-11-07","19:00","Regular","CHA","PHO","Home",20,24,"Leon Wood","Derrick Stafford","Kevin Cutler"
"106","2012-11-07","19:30","Regular","MIA","BKN","Home",18,15,"Mike Callahan","Tony Brown","Josh Tiven"
"108","2012-11-07","19:30","Regular","ATL","IND","Home",15,14,"Ken Mauer","Derek Richardson","Kane Fitzgerald"
"110","2012-11-07","19:30","Regular","BOS","WAS","Home",17,27,"Bennie Adams","Monty McCutchen","Kevin Scott"
"112","2012-11-07","20:00","Regular","NO","PHI","Home",12,16,"Leroy Richardson","Tony Brothers","Dick Bavetta"
"114","2012-11-07","20:00","Regular","MIL","MEM","Home",18,20,"Gary Zielinski","Scott Wall","Jason Phillips"
"116","2012-11-07","20:00","Regular","MIN","ORL","Home",18,22,"Bill Kennedy","John Goble","Scott Twardoski"
"118","2012-11-07","20:00","Regular","HOU","DEN","Home",22,16,"Joe Crawford","David Guthrie","Eric Dalen"
"120","2012-11-07","20:30","Regular","DAL","TOR","Home",23,28,"Rodney Mott","Sean Wright","Tre Maddox"
"122","2012-11-07","21:00","Regular","UTA","LAL","Home",30,14,"Ed Malloy","Derrick Collins","Mark Lindsay"
"124","2012-11-07","22:00","Regular","SAC","DET","Home",21,20,"David Jones","Bennett Salvatore","Nick Buchert"
"126","2012-11-07","22:30","Regular","GS","CLE","Home",22,26,"Tom Washington","Mark Ayotte","Eric Lewis"
"128","2012-11-07","22:30","Regular","LAC","SA","Home",19,11,"Michael Smith","Matt Boland","James Capers"
"130","2012-11-08","20:00","Regular","CHI","OKC","Home",19,19,"Sean Corbin","Derrick Stafford","Eli Roe"
"132","2012-11-08","22:30","Regular","POR","LAC","Home",22,22,"Tom Washington","Eric Lewis","Mark Lindsay"
"134","2012-11-09","19:00","Regular","WAS","MIL","Home",24,21,"Leon Wood","Mike Callahan","Curtis Blair"
"136","2012-11-09","19:00","Regular","ORL","BKN","Home",22,13,"Leroy Richardson","Ken Mauer","Kevin Cutler"
"138","2012-11-09","19:30","Regular","BOS","PHI","Home",19,22,"Rodney Mott","Sean Wright","James Williams"
"140","2012-11-09","19:30","Regular","ATL","MIA","Home",16,22,"Joe Crawford","Brian Forte","Karl Lane"
"142","2012-11-09","19:30","Regular","NY","DAL","Home",21,28,"Zach Zarba","Monty McCutchen","Kevin Scott"
"144","2012-11-09","20:00","Regular","NO","CHA","Home",15,17,"Violet Palmer","Bill Kennedy","David Guthrie"
"146","2012-11-09","20:00","Regular","MIN","IND","Home",16,21,"Scott Foster","Scott Wall","Brent Barnaky"
"148","2012-11-09","20:00","Regular","OKC","DET","Home",25,19,"Kane Fitzgerald","Scott Twardoski","Dick Bavetta"
"150","2012-11-09","20:00","Regular","MEM","HOU","Home",16,17,"Bennie Adams","Dan Crawford","Josh Tiven"
"152","2012-11-09","21:00","Regular","PHO","CLE","Home",19,25,"Michael Smith","Matt Boland","James Capers"
"154","2012-11-09","22:00","Regular","SAC","SA","Home",18,19,"Ed Malloy","Derrick Collins","Mark Ayotte"
"156","2012-11-09","22:30","Regular","DEN","UTA","Home",17,21,"Courtney Kirkland","Kevin Fehr","Marc Davis"
"158","2012-11-09","22:30","Regular","LAL","GS","Home",14,25,"David Jones","Bennett Salvatore","Nick Buchert"
"160","2012-11-10","19:00","Regular","TOR","PHI","Home",21,19,"Sean Corbin","Zach Zarba","J.T. Orr"
"162","2012-11-10","19:00","Regular","IND","WAS","Home",12,21,"Rodney Mott","Derrick Stafford","Marat Kogut"
"164","2012-11-10","19:30","Regular","CHA","DAL","Home",24,24,"Ken Mauer","Brian Forte","Karl Lane"
"166","2012-11-10","20:00","Regular","HOU","DET","Home",17,16,"Leroy Richardson","Jason Phillips","Olandis Poole"
"168","2012-11-10","20:00","Regular","CHI","MIN","Home",19,20,"Tony Brothers","Tony Brown","Haywoode Workman"
"170","2012-11-10","20:30","Regular","MIL","BOS","Home",25,22,"Scott Foster","Pat Fraher","Eli Roe"
"172","2012-11-10","21:00","Regular","UTA","PHO","Home",18,25,"Tom Washington","Mark Ayotte","Eric Lewis"
"174","2012-11-10","22:00","Regular","POR","SA","Home",23,20,"Ron Garretson","Derek Richardson","Nick Buchert"
"176","2012-11-10","22:30","Regular","GS","DEN","Home",26,21,"Matt Boland","Ed Malloy","Derrick Collins"
"178","2012-11-11","15:00","Regular","BKN","ORL","Home",17,22,"Monty McCutchen","Sean Wright","Brent Barnaky"
"180","2012-11-11","15:30","Regular","LAC","ATL","Home",22,12,"Gary Zielinski","Leon Wood","Tre Maddox"
"182","2012-11-11","18:00","Regular","MEM","MIA","Home",22,16,"Kane Fitzgerald","Kevin Cutler","James Capers"
"184","2012-11-11","19:00","Regular","OKC","CLE","Home",22,19,"Bennie Adams","Violet Palmer","Dan Crawford"
"186","2012-11-11","21:30","Regular","LAL","SAC","Home",13,24,"Courtney Kirkland","Kevin Fehr","Marc Davis"
"188","2012-11-12","19:00","Regular","PHI","MIL","Home",14,19,"Michael Smith","David Guthrie","Eric Dalen"
"190","2012-11-12","19:00","Regular","TOR","UTA","Home",31,26,"Scott Foster","Tony Brown","Marat Kogut"
"192","2012-11-12","19:30","Regular","DET","OKC","Home",28,20,"Rodney Mott","Mike Callahan","J.T. Orr"
"194","2012-11-12","20:00","Regular","CHI","BOS","Home",15,24,"Joe Crawford","Zach Zarba","Mark Lindsay"
"196","2012-11-12","20:00","Regular","HOU","MIA","Home",20,24,"Tom Washington","Eric Lewis","James Williams"
"198","2012-11-12","20:30","Regular","DAL","MIN","Home",20,22,"Leroy Richardson","Jason Phillips","Dick Bavetta"
"200","2012-11-12","21:00","Regular","PHO","DEN","Home",19,21,"Gary Zielinski","Ron Garretson","Tre Maddox"
"202","2012-11-12","22:00","Regular","POR","ATL","Home",19,22,"Courtney Kirkland","Kevin Fehr","Marc Davis"
"204","2012-11-13","19:00","Regular","ORL","NY","Home",9,14,"Tony Brothers","Matt Boland","Haywoode Workman"
"206","2012-11-13","19:00","Regular","IND","TOR","Home",16,23,"Pat Fraher","Bennett Salvatore","Kevin Cutler"
"208","2012-11-13","19:00","Regular","CHA","WAS","Home",20,24,"Scott Wall","Monty McCutchen","Olandis Poole"
"210","2012-11-13","19:30","Regular","BKN","CLE","Home",23,26,"Ed Malloy","Kane Fitzgerald","Curtis Blair"
"212","2012-11-13","22:00","Regular","SAC","POR","Home",20,18,"Bennie Adams","Dan Crawford","Josh Tiven"
"214","2012-11-13","22:30","Regular","LAL","SA","Home",14,17,"Sean Corbin","Derrick Stafford","Scott Twardoski"
"216","2012-11-14","19:00","Regular","PHI","DET","Home",21,25,"Ed Malloy","John Goble","Kevin Scott"
"218","2012-11-14","19:30","Regular","BOS","UTA","Home",17,19,"Mike Callahan","Eric Dalen","Brian Forte"
"220","2012-11-14","20:00","Regular","MIN","CHA","Home",14,26,"Michael Smith","Zach Zarba","Mark Lindsay"
"222","2012-11-14","20:00","Regular","OKC","MEM","Home",19,23,"Ken Mauer","Sean Wright","Brent Barnaky"
"224","2012-11-14","20:00","Regular","HOU","NO","Home",17,16,"David Jones","Ron Garretson","Tre Maddox"
"226","2012-11-14","20:00","Regular","MIL","IND","Home",22,18,"Tony Brown","Derrick Collins","James Capers"
"228","2012-11-14","20:30","Regular","DAL","WAS","Home",15,24,"Tom Washington","Eric Lewis","Nick Buchert"
"230","2012-11-14","21:00","Regular","PHO","CHI","Home",27,21,"Leon Wood","Marc Davis","Scott Twardoski"
"232","2012-11-14","22:30","Regular","GS","ATL","Home",22,18,"Derrick Stafford","Derek Richardson","Dick Bavetta"
"234","2012-11-14","22:30","Regular","LAC","MIA","Home",25,25,"Bennie Adams","Dan Crawford","Josh Tiven"
"236","2012-11-15","20:00","Regular","BKN","BOS","Home",18,24,"Tony Brothers","Scott Wall","John Goble"
"238","2012-11-15","20:30","Regular","SA","NY","Home",20,19,"Jason Phillips","Eric Lewis","Brent Barnaky"
"240","2012-11-15","22:30","Regular","DEN","MIA","Home",20,14,"Pat Fraher","Sean Corbin","Bill Kennedy"
"242","2012-11-16","19:00","Regular","PHI","UTA","Home",19,15,"David Jones","Mark Lindsay","James Capers"
"244","2012-11-16","19:00","Regular","DET","ORL","Home",18,17,"Leroy Richardson","Joe Crawford","Derrick Collins"
"246","2012-11-16","19:00","Regular","IND","DAL","Home",15,23,"Scott Foster","Michael Smith","Mark Ayotte"
"248","2012-11-16","20:00","Regular","NO","OKC","Home",20,24,"Leon Wood","Marc Davis","Curtis Blair"
"250","2012-11-16","20:00","Regular","MIN","GS","Home",23,26,"Gary Zielinski","Bennett Salvatore","James Williams"
"252","2012-11-16","21:30","Regular","MEM","NY","Home",24,26,"Ed Malloy","Nick Buchert","Brian Forte"
"254","2012-11-16","22:00","Regular","SAC","ATL","Home",22,14,"Rodney Mott","Zach Zarba","Violet Palmer"
"256","2012-11-16","22:00","Regular","POR","HOU","Home",24,29,"Derrick Stafford","Steven Anderson","Dick Bavetta"
"258","2012-11-16","22:30","Regular","LAL","PHO","Home",15,25,"Dan Crawford","David Guthrie","Josh Tiven"
"260","2012-11-17","12:30","Regular","BOS","TOR","Home",23,23,"Courtney Kirkland","Jason Phillips","Olandis Poole"
"262","2012-11-17","15:30","Regular","LAC","CHI","Home",20,20,"Ron Garretson","Sean Corbin","Eli Roe"
"264","2012-11-17","19:00","Regular","WAS","UTA","Home",20,13,"Ken Mauer","John Goble","Karl Lane"
"266","2012-11-17","19:30","Regular","CHA","MEM","Home",25,23,"Marc Davis","Derrick Collins","Scott Twardoski"
"268","2012-11-17","19:30","Regular","CLE","DAL","Home",15,19,"Kevin Fehr","Scott Wall","Mike Callahan"
"270","2012-11-17","20:30","Regular","MIL","NO","Home",18,26,"Tom Washington","Marat Kogut","Brian Forte"
"272","2012-11-17","20:30","Regular","SA","DEN","Home",21,19,"Bennie Adams","Leon Wood","Curtis Blair"
"274","2012-11-17","21:00","Regular","PHO","MIA","Home",18,21,"Monty McCutchen","Sean Wright","J.T. Orr"
"276","2012-11-18","12:00","Regular","NY","IND","Home",15,18,"David Jones","Joe Crawford","Eric Dalen"
"278","2012-11-18","13:00","Regular","TOR","ORL","Home",21,22,"Michael Smith","James Williams","James Capers"
"280","2012-11-18","18:00","Regular","PHI","CLE","Home",15,16,"Bennett Salvatore","Tony Brown","Haywoode Workman"
"282","2012-11-18","18:00","Regular","SAC","BKN","Home",24,18,"Derrick Stafford","David Guthrie","Steven Anderson"
"284","2012-11-18","19:00","Regular","OKC","GS","Home",16,18,"Leroy Richardson","Bill Kennedy","Kevin Scott"
"286","2012-11-18","19:30","Regular","DET","BOS","Home",22,21,"Scott Foster","Gary Zielinski","Mark Ayotte"
"288","2012-11-18","21:00","Regular","POR","CHI","Home",17,20,"Rodney Mott","Pat Fraher","Kevin Cutler"
"290","2012-11-18","21:30","Regular","LAL","HOU","Home",15,22,"Zach Zarba","Kane Fitzgerald","J.T. Orr"
"292","2012-11-19","19:00","Regular","CHA","MIL","Home",14,27,"Jason Phillips","Dick Bavetta","Curtis Blair"
"294","2012-11-19","19:00","Regular","WAS","IND","Home",27,27,"Kevin Fehr","Gary Zielinski","Ron Garretson"
"296","2012-11-19","19:30","Regular","ATL","ORL","Home",18,19,"Leon Wood","Ed Malloy","Scott Twardoski"
"298","2012-11-19","20:00","Regular","MEM","DEN","Home",20,15,"Tony Brothers","Scott Wall","Marat Kogut"
"300","2012-11-19","20:30","Regular","SA","LAC","Home",19,20,"Leroy Richardson","Bill Kennedy","Karl Lane"
"302","2012-11-19","20:30","Regular","DAL","GS","Home",22,24,"Bennie Adams","Matt Boland","Brian Forte"
"304","2012-11-19","21:00","Regular","UTA","HOU","Home",23,22,"Monty McCutchen","Sean Wright","Eli Roe"
"306","2012-11-20","19:00","Regular","PHI","TOR","Home",23,20,"Joe Crawford","Derrick Collins","Josh Tiven"
"308","2012-11-20","20:00","Regular","NO","NY","Home",21,20,"Scott Foster","Tony Brown","Olandis Poole"
"310","2012-11-20","22:30","Regular","LAL","BKN","Home",18,26,"Rodney Mott","Pat Fraher","Mark Ayotte"
"312","2012-11-21","19:00","Regular","CLE","PHI","Home",14,16,"Derrick Stafford","Derek Richardson","David Guthrie"
"314","2012-11-21","19:00","Regular","IND","NO","Home",24,26,"Leroy Richardson","Mike Callahan","Haywoode Workman"
"316","2012-11-21","19:00","Regular","ORL","DET","Home",23,16,"Scott Wall","Bennett Salvatore","Brent Barnaky"
"318","2012-11-21","19:00","Regular","CHA","TOR","Home",21,25,"Ed Malloy","Violet Palmer","John Goble"
"320","2012-11-21","19:30","Regular","MIA","MIL","Home",13,21,"Courtney Kirkland","Ken Mauer","Nick Buchert"
"322","2012-11-21","19:30","Regular","OKC","LAC","Home",24,27,"Kevin Fehr","James Capers","Brian Forte"
"324","2012-11-21","19:30","Regular","BOS","SA","Home",18,17,"David Jones","Ron Garretson","Mark Lindsay"
"326","2012-11-21","19:30","Regular","ATL","WAS","Home",25,27,"Jason Phillips","Tony Brown","James Williams"
"328","2012-11-21","20:00","Regular","HOU","CHI","Home",18,22,"Scott Foster","Michael Smith","Matt Boland"
"330","2012-11-21","20:00","Regular","MIN","DEN","Home",21,24,"Dan Crawford","Eric Lewis","Scott Bolnick"
"332","2012-11-21","20:30","Regular","DAL","NY","Home",18,17,"Tony Brothers","Sean Corbin","Karl Lane"
"334","2012-11-21","21:00","Regular","PHO","POR","Home",18,21,"Bill Kennedy","Eli Roe","Kane Fitzgerald"
"336","2012-11-21","22:00","Regular","SAC","LAL","Home",27,22,"Sean Wright","Kevin Cutler","Scott Twardoski"
"338","2012-11-21","22:30","Regular","GS","BKN","Home",17,16,"Monty McCutchen","J.T. Orr","Tre Maddox"
"340","2012-11-23","19:00","Regular","ORL","CLE","Home",30,24,"Scott Foster","Violet Palmer","Brian Forte"
"342","2012-11-23","19:00","Regular","CHA","ATL","Home",15,18,"David Jones","Sean Corbin","Marat Kogut"
"344","2012-11-23","19:30","Regular","BKN","LAC","Home",22,22,"Ron Garretson","Mark Lindsay","Dick Bavetta"
"346","2012-11-23","19:30","Regular","DET","TOR","Home",22,23,"Ken Mauer","Matt Boland","Kevin Scott"
"348","2012-11-23","19:30","Regular","BOS","OKC","Home",23,23,"Derrick Stafford","Derek Richardson","Eric Lewis"
"350","2012-11-23","20:00","Regular","HOU","NY","Home",17,21,"Courtney Kirkland","James Capers","Curtis Blair"
"352","2012-11-23","20:00","Regular","MEM","LAL","Home",26,28,"Michael Smith","Bennett Salvatore","James Williams"
"354","2012-11-23","20:00","Regular","IND","SA","Home",23,21,"Dan Crawford","John Goble","Scott Bolnick"
"356","2012-11-23","21:00","Regular","PHO","NO","Home",19,24,"Tony Brothers","Bennie Adams","Mark Ayotte"
"358","2012-11-23","21:00","Regular","UTA","SAC","Home",22,23,"Leon Wood","Marc Davis","J.T. Orr"
"360","2012-11-23","21:00","Regular","DEN","GS","Home",18,30,"Gary Zielinski","Tom Washington","Scott Twardoski"
"362","2012-11-23","22:00","Regular","POR","MIN","Home",26,21,"Joe Crawford","Derrick Collins","Tre Maddox"
"364","2012-11-24","19:00","Regular","WAS","CHA","Home",28,33,"Scott Foster","Kane Fitzgerald","Kevin Cutler"
"366","2012-11-24","19:00","Regular","ATL","LAC","Home",18,22,"Pat Fraher","Zach Zarba","Josh Tiven"
"368","2012-11-24","19:00","Regular","PHI","OKC","Home",28,20,"Scott Wall","Bill Kennedy","Olandis Poole"
"370","2012-11-24","19:30","Regular","MIA","CLE","Home",25,29,"Rodney Mott","Tony Brown","Eli Roe"
"372","2012-11-24","20:30","Regular","DAL","LAL","Home",28,23,"Mike Callahan","David Guthrie","Curtis Blair"
"374","2012-11-24","21:00","Regular","MIL","CHI","Home",20,18,"Ed Malloy","Eric Lewis","Eric Dalen"
"376","2012-11-24","22:00","Regular","SAC","UTA","Home",20,26,"Gary Zielinski","Tom Washington","Tre Maddox"
"378","2012-11-24","22:30","Regular","GS","MIN","Home",25,24,"Leon Wood","Marc Davis","Ben Taylor"
"380","2012-11-25","13:00","Regular","NY","DET","Home",19,22,"Dan Crawford","Sean Wright","Marat Kogut"
"382","2012-11-25","13:00","Regular","TOR","SA","Home",25,18,"Leroy Richardson","Derrick Stafford","Derek Richardson"
"384","2012-11-25","15:00","Regular","BKN","POR","Home",11,19,"David Jones","Ken Mauer","Kevin Scott"
"386","2012-11-25","18:00","Regular","ORL","BOS","Home",19,22,"Michael Smith","Josh Tiven","Dick Bavetta"
"388","2012-11-25","18:00","Regular","PHI","PHO","Home",18,23,"Zach Zarba","Violet Palmer","Monty McCutchen"
"390","2012-11-25","20:00","Regular","DEN","NO","Home",20,18,"Joe Crawford","Derrick Collins","Ben Taylor"
"392","2012-11-26","19:00","Regular","BKN","NY","Home",21,24,"Derrick Stafford","Eric Lewis","Eric Dalen"
"394","2012-11-26","19:00","Regular","WAS","SA","Home",18,15,"Rodney Mott","Bill Kennedy","Eli Roe"
"396","2012-11-26","19:30","Regular","DET","POR","Home",25,24,"Bennie Adams","Kevin Cutler","James Capers"
"398","2012-11-26","20:00","Regular","OKC","CHA","Home",21,19,"Tom Washington","Matt Boland","Derrick Collins"
"400","2012-11-26","20:00","Regular","CHI","MIL","Home",21,17,"Kevin Fehr","Dan Crawford","David Guthrie"
"402","2012-11-26","20:00","Regular","MEM","CLE","Home",15,23,"Pat Fraher","Mike Callahan","SirAllen Conner"
"404","2012-11-26","21:00","Regular","UTA","DEN","Home",30,26,"Jason Phillips","Mark Ayotte","Brian Forte"
"406","2012-11-26","22:30","Regular","LAC","NO","Home",26,19,"Marc Davis","John Goble","Brent Barnaky"
"408","2012-11-27","19:00","Regular","PHI","DAL","Home",25,22,"Michael Smith","Kane Fitzgerald","Nick Buchert"
"410","2012-11-27","19:00","Regular","CLE","PHO","Home",21,19,"Leroy Richardson","Bill Kennedy","James Williams"
"412","2012-11-27","20:00","Regular","HOU","TOR","Home",15,15,"Tony Brothers","Sean Corbin","Haywoode Workman"
"414","2012-11-27","22:00","Regular","SAC","MIN","Home",19,16,"Ron Garretson","John Goble","Brent Barnaky"
"416","2012-11-27","22:30","Regular","LAL","IND","Home",25,32,"Joe Crawford","Brian Forte","Tre Maddox"
"418","2012-11-28","19:00","Regular","ORL","SA","Home",14,8,"Courtney Kirkland","Ken Mauer","Olandis Poole"
"420","2012-11-28","19:00","Regular","WAS","POR","Home",19,20,"Derrick Stafford","David Guthrie","James Williams"
"422","2012-11-28","19:30","Regular","ATL","CHA","Home",18,21,"Bennie Adams","Mike Callahan","Nick Buchert"
"424","2012-11-28","19:30","Regular","BOS","BKN","Home",24,24,"Kevin Fehr","Kane Fitzgerald","James Capers"
"426","2012-11-28","19:30","Regular","DET","PHO","Home",19,23,"David Jones","Pat Fraher","Curtis Blair"
"428","2012-11-28","20:00","Regular","NO","UTA","Home",27,25,"Monty McCutchen","Sean Wright","Haywoode Workman"
"430","2012-11-28","20:00","Regular","MIL","NY","Home",20,20,"Zach Zarba","Matt Boland","Bennett Salvatore"
"432","2012-11-28","20:00","Regular","CHI","DAL","Home",19,26,"Rodney Mott","Derrick Collins","Kevin Cutler"
"434","2012-11-28","20:00","Regular","MEM","TOR","Home",19,29,"Leon Wood","Tom Washington","Karl Lane"
"436","2012-11-28","20:00","Regular","OKC","HOU","Home",22,16,"Marc Davis","Josh Tiven","Dick Bavetta"
"438","2012-11-28","22:30","Regular","LAC","MIN","Home",25,25,"Scott Wall","Jason Phillips","Violet Palmer"
"440","2012-11-29","20:00","Regular","MIA","SA","Home",18,20,"Tony Brothers","Michael Smith","Eric Dalen"
"442","2012-11-29","22:30","Regular","GS","DEN","Home",22,16,"Ron Garretson","John Goble","Brent Barnaky"
"444","2012-11-30","19:00","Regular","CHA","PHI","Home",10,18,"Rodney Mott","Derrick Stafford","Olandis Poole"
"446","2012-11-30","19:00","Regular","ORL","BKN","Home",19,17,"Zach Zarba","Tom Washington","Nick Buchert"
"448","2012-11-30","19:00","Regular","TOR","PHO","Home",20,20,"Mike Callahan","David Guthrie","Mark Lindsay"
"450","2012-11-30","19:30","Regular","ATL","CLE","Home",18,25,"Scott Foster","Mark Ayotte","Curtis Blair"
"452","2012-11-30","19:30","Regular","BOS","POR","Home",27,19,"Leroy Richardson","Pat Fraher","Bennett Salvatore"
"454","2012-11-30","19:30","Regular","NY","WAS","Home",20,14,"Kevin Fehr","Leon Wood","James Capers"
"456","2012-11-30","20:00","Regular","MIN","MIL","Home",13,24,"David Jones","Derrick Collins","Kevin Scott"
"458","2012-11-30","20:00","Regular","OKC","UTA","Home",19,21,"Bennie Adams","Dan Crawford","Eli Roe"
"460","2012-11-30","20:00","Regular","MEM","DET","Home",22,20,"Courtney Kirkland","Monty McCutchen","Haywoode Workman"
"462","2012-11-30","22:00","Regular","SAC","IND","Home",19,19,"Scott Wall","Jason Phillips","J.T. Orr"
"464","2012-11-30","22:30","Regular","LAL","DEN","Home",22,19,"Bill Kennedy","Eric Lewis","Karl Lane"
"466","2012-12-01","19:30","Regular","MIA","BKN","Home",25,21,"Scott Foster","Brian Forte","Curtis Blair"
"468","2012-12-01","19:30","Regular","CLE","POR","Home",21,21,"Leon Wood","Ed Malloy","Mark Lindsay"
"470","2012-12-01","20:00","Regular","CHI","PHI","Home",16,19,"Leroy Richardson","Monty McCutchen","Kevin Scott"
"472","2012-12-01","20:00","Regular","HOU","UTA","Home",17,22,"Ron Garretson","Eric Dalen","Kane Fitzgerald"
"474","2012-12-01","20:00","Regular","NO","OKC","Home",16,17,"Sean Corbin","Joe Crawford","Marat Kogut"
"476","2012-12-01","20:30","Regular","MIL","BOS","Home",13,19,"Bennie Adams","Marc Davis","Haywoode Workman"
"478","2012-12-01","20:30","Regular","SA","MEM","Home",22,24,"Dan Crawford","Mark Ayotte","Sean Wright"
