,Team,Home,Away,Combined,Difference,WAS,CLE,BOS,MIA,DAL,LAL,DEN,PHI,IND,TOR,HOU,DET,SAC,CHI,SA,NO,UTA,GS,PHO,MEM,LAC,POR,OKC,ORL,CHA,MIL,ATL,NY,MIN,BKN
0,WAS,0.76239674796748,0.7392963414634146,0.7508465447154477,-0.0032806623069752128,,0.7810999999999999,0.7394909090909091,0.7204250000000001,0.7463500000000001,0.6822833333333334,0.7558833333333334,0.7720999999999999,0.6958399999999999,0.7282363636363638,0.7346,0.7606545454545455,0.7434833333333334,0.7833181818181818,0.7220333333333334,0.7150833333333333,0.7802166666666667,0.7211499999999998,0.7378833333333333,0.7907833333333333,0.6414500000000001,0.7194333333333333,0.70465,0.7288666666666664,0.7704500000000002,0.7448272727272728,0.7603499999999999,0.7008599999999999,0.7672833333333333,0.7233090909090909
1,CLE,0.7490174796747975,0.7579373983739836,0.7534774390243902,0.00022595389711843605,0.8075545454545453,,0.7822818181818182,0.7364999999999999,0.7586166666666667,0.7935166666666666,0.7319999999999999,0.7684090909090909,0.77375,0.75215,0.7346500000000001,0.7771833333333333,0.6927,0.7263499999999999,0.7473666666666667,0.7616666666666666,0.7871166666666666,0.7301666666666667,0.8101666666666666,0.7710500000000001,0.6949333333333333,0.6925166666666667,0.7792833333333333,0.7606999999999999,0.7798909090909092,0.7843666666666667,0.7281272727272726,0.7492,0.7473000000000001,0.7536545454545455
2,BOS,0.7805028571428579,0.7824914634146336,0.7814991853360498,-0.0017636309595330246,0.7810454545454545,0.80144,,0.8254818181818181,0.8302833333333334,0.7237166666666667,0.7780333333333332,0.759,0.7810818181818182,0.7725166666666666,0.8042333333333334,0.8177363636363637,0.7610666666666667,0.7764818181818182,0.7968166666666666,0.7909166666666666,0.8149666666666667,0.7452833333333334,0.7971333333333334,0.7742833333333333,0.8123666666666667,0.7871333333333334,0.6456333333333334,0.786309090909091,0.78515,0.7876090909090909,0.7870727272727273,0.7906749999999999,0.7673166666666668,0.7678833333333334
3,MIA,0.7511800813008132,0.7407337398373982,0.7459569105691062,0.0016083340485057995,0.7502333333333334,0.7450636363636364,0.7207399999999999,,0.7117833333333334,0.6463,0.6866333333333334,0.7693909090909091,0.7139545454545455,0.7399818181818181,0.6504500000000001,0.7386545454545455,0.8590833333333333,0.7527727272727273,0.7155999999999999,0.6911333333333333,0.69985,0.7573666666666666,0.7390333333333333,0.6643666666666667,0.77865,0.7333833333333333,0.7901000000000001,0.7552416666666666,0.7536499999999999,0.7697800000000001,0.785975,0.7329545454545454,0.7503833333333333,0.7644454545454547
4,DAL,0.7871560975609755,0.7763284552845533,0.7817422764227646,-0.006430522133159533,0.8051833333333333,0.8207333333333334,0.7974833333333334,0.74275,,0.7626090909090909,0.8013090909090909,0.69685,0.7291666666666666,0.7345833333333333,0.7823333333333333,0.7872333333333333,0.7763636363636365,0.8551166666666666,0.7491416666666666,0.7975,0.7957181818181819,0.7535636363636363,0.70795,0.770075,0.7707,0.8332600000000001,0.7768727272727272,0.70935,0.7770166666666668,0.8141833333333333,0.8283833333333334,0.8580500000000001,0.734681818181818,0.7916
5,LAL,0.7325394308943091,0.7491463414634141,0.7408428861788627,-0.021479218516675225,0.7753333333333333,0.74445,0.7159666666666666,0.7432833333333333,0.7214181818181818,,0.6864181818181818,0.7217166666666666,0.7405333333333334,0.7825000000000001,0.7717545454545455,0.7429833333333332,0.7242166666666665,0.7338999999999999,0.73383,0.7519636363636363,0.7493545454545454,0.7277166666666668,0.7563666666666666,0.761009090909091,0.7484166666666666,0.84558,0.7081,0.70955,0.8294,0.7429333333333333,0.7669833333333332,0.7801999999999999,0.7840363636363636,0.7603833333333333
6,DEN,0.7470760162601627,0.7434808943089435,0.7452784552845532,-0.00983392835687702,0.7569166666666667,0.7991333333333333,0.7633166666666668,0.7380166666666668,0.6762454545454545,0.7116727272727272,,0.6535166666666666,0.7475,0.8116833333333333,0.7075818181818181,0.7510166666666667,0.756190909090909,0.73685,0.7811454545454546,0.75198,0.7609333333333334,0.7336181818181818,0.76434,0.7772181818181818,0.746118181818182,0.7621916666666667,0.7443750000000001,0.7579333333333333,0.7114333333333334,0.7315499999999999,0.7384666666666666,0.7109499999999999,0.7377416666666666,0.7388
7,PHI,0.718734959349594,0.7251187755102037,0.721920366598778,0.004122326027131251,0.6774454545454546,0.7307181818181818,0.7168,0.7588272727272728,0.6670166666666666,0.7445666666666666,0.7716833333333334,,0.6547099999999999,0.7004583333333333,0.7157333333333334,0.7546,0.6918333333333333,0.7195545454545454,0.6711166666666667,0.7516833333333334,0.7764500000000001,0.7011166666666666,0.7783666666666668,0.6467,0.7100166666666667,0.70726,0.7735,0.7462799999999999,0.7548090909090909,0.7986636363636364,0.6843363636363636,0.6976916666666667,0.7607499999999999,0.7580666666666667
8,IND,0.7654004065040655,0.7804714285714288,0.7729205702647653,-0.0028140837495631565,0.8147000000000001,0.7999666666666666,0.76293,0.816509090909091,0.7772333333333333,0.7012333333333333,0.7461666666666668,0.7783727272727273,,0.7693363636363636,0.8413666666666666,0.7678333333333333,0.7963,0.7612833333333332,0.7681666666666667,0.8172166666666666,0.8222166666666667,0.8116333333333333,0.7711333333333333,0.7652,0.7598166666666666,0.7786333333333334,0.77585,0.7532099999999999,0.7710090909090909,0.7468500000000001,0.8035999999999999,0.7562299999999998,0.8141666666666666,0.8012545454545456
9,TOR,0.7851628571428576,0.7871268292682921,0.7861468431771895,-0.00786052545156024,0.7782,0.7818636363636364,0.7471166666666668,0.71955,0.7829333333333334,0.7949833333333335,0.7274833333333333,0.8011583333333333,0.8165,,0.7606499999999999,0.8458727272727273,0.8114666666666667,0.7915636363636362,0.7407499999999999,0.7925166666666666,0.8216666666666668,0.8149166666666666,0.8369833333333334,0.8117333333333333,0.8087833333333333,0.7879833333333334,0.8488333333333333,0.7682181818181818,0.8182636363636363,0.78658,0.7593727272727272,0.7539416666666668,0.7466499999999999,0.8047416666666667
