"","ref","team","fouls"
"171","Bill Kennedy","OKC",434
"172","Bill Kennedy","ORL",441
"173","Bill Kennedy","PHI",566
"174","Bill Kennedy","PHO",600
"175","Bill Kennedy","POR",670
"176","Bill Kennedy","SA",452
"177","Bill Kennedy","SAC",598
"178","Bill Kennedy","TOR",535
"179","Bill Kennedy","UTA",538
"180","Bill Kennedy","WAS",575
"181","Bill Spooner","ATL",381
"182","Bill Spooner","BKN",272
"183","Bill Spooner","BOS",462
"184","Bill Spooner","CHA",368
"185","Bill Spooner","CHI",459
"186","Bill Spooner","CLE",313
"187","Bill Spooner","DAL",362
"188","Bill Spooner","DEN",469
"189","Bill Spooner","DET",492
"190","Bill Spooner","GS",407
"191","Bill Spooner","HOU",370
"192","Bill Spooner","IND",439
"193","Bill Spooner","LAC",461
"194","Bill Spooner","LAL",554
"195","Bill Spooner","MEM",367
"196","Bill Spooner","MIA",245
"197","Bill Spooner","MIL",428
"198","Bill Spooner","MIN",371
"199","Bill Spooner","NO",361
"200","Bill Spooner","NY",325
"201","Bill Spooner","OKC",377
"202","Bill Spooner","ORL",373
"203","Bill Spooner","PHI",507
"204","Bill Spooner","PHO",395
"205","Bill Spooner","POR",648
"206","Bill Spooner","SA",373
"207","Bill Spooner","SAC",535
"208","Bill Spooner","TOR",455
"209","Bill Spooner","UTA",416
"210","Bill Spooner","WAS",432
"211","Brandon Adair","ATL",0
"212","Brandon Adair","BKN",0
"213","Brandon Adair","BOS",22
"214","Brandon Adair","CHA",16
"215","Brandon Adair","CHI",19
"216","Brandon Adair","CLE",0
"217","Brandon Adair","DAL",22
"218","Brandon Adair","DEN",23
"219","Brandon Adair","DET",0
"220","Brandon Adair","GS",0
"221","Brandon Adair","HOU",0
"222","Brandon Adair","IND",21
"223","Brandon Adair","LAC",0
"224","Brandon Adair","LAL",0
"225","Brandon Adair","MEM",0
"226","Brandon Adair","MIA",59
"227","Brandon Adair","MIL",24
"228","Brandon Adair","MIN",16
"229","Brandon Adair","NO",18
"230","Brandon Adair","NY",0
"231","Brandon Adair","OKC",0
"232","Brandon Adair","ORL",0
"233","Brandon Adair","PHI",0
"234","Brandon Adair","PHO",0
"235","Brandon Adair","POR",0
"236","Brandon Adair","SA",0
"237","Brandon Adair","SAC",0
"238","Brandon Adair","TOR",0
"239","Brandon Adair","UTA",0
"240","Brandon Adair","WAS",0
"241","Brenda Pantoja","ATL",43
"242","Brenda Pantoja","BKN",0
"243","Brenda Pantoja","BOS",0
"244","Brenda Pantoja","CHA",11
"245","Brenda Pantoja","CHI",0
"246","Brenda Pantoja","CLE",16
"247","Brenda Pantoja","DAL",0
